sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
144;SDS011;3528;-0.286;36.067;2023-02-04T07:19:01.496544+00:00;P1;20
145;DHT22;3528;-0.286;36.067;2023-02-04T07:19:01.497637+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2023-02-04T07:19:01.497637+00:00;temperature;24
145;DHT22;3528;-0.286;36.067;2023-02-04T07:21:42.318060+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2023-02-04T07:21:42.318060+00:00;temperature;25
144;SDS011;3528;-0.286;36.067;2023-02-04T07:21:42.318071+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2023-02-04T07:21:42.318071+00:00;P1;28
144;SDS011;3528;-0.286;36.067;2023-02-04T07:24:21.589190+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2023-02-04T07:24:21.589190+00:00;P1;7
145;DHT22;3528;-0.286;36.067;2023-02-04T07:24:21.589719+00:00;humidity;61
145;DHT22;3528;-0.286;36.067;2023-02-04T07:24:21.589719+00:00;temperature;25
145;DHT22;3528;-0.286;36.067;2023-02-04T07:27:02.184801+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2023-02-04T07:27:02.184801+00:00;temperature;25
144;SDS011;3528;-0.286;36.067;2023-02-04T07:27:02.187054+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2023-02-04T07:27:02.187054+00:00;P1;21
145;DHT22;3528;-0.286;36.067;2023-02-04T07:29:42.283684+00:00;humidity;61
145;DHT22;3528;-0.286;36.067;2023-02-04T07:29:42.283684+00:00;temperature;25
144;SDS011;3528;-0.286;36.067;2023-02-04T07:29:42.283704+00:00;P2;4
144;SDS011;3528;-0.286;36.067;2023-02-04T07:29:42.283704+00:00;P1;10
144;SDS011;3528;-0.286;36.067;2023-02-04T07:32:21.515457+00:00;P2;4
144;SDS011;3528;-0.286;36.067;2023-02-04T07:32:21.515457+00:00;P1;10
145;DHT22;3528;-0.286;36.067;2023-02-04T07:32:21.515493+00:00;humidity;60
145;DHT22;3528;-0.286;36.067;2023-02-04T07:32:21.515493+00:00;temperature;25
145;DHT22;3528;-0.286;36.067;2023-02-04T07:35:03.148889+00:00;humidity;58
145;DHT22;3528;-0.286;36.067;2023-02-04T07:35:03.148889+00:00;temperature;25
144;SDS011;3528;-0.286;36.067;2023-02-04T07:35:03.207646+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2023-02-04T07:35:03.207646+00:00;P1;19
145;DHT22;3528;-0.286;36.067;2023-02-04T07:37:43.079550+00:00;humidity;59
145;DHT22;3528;-0.286;36.067;2023-02-04T07:37:43.079550+00:00;temperature;25
144;SDS011;3528;-0.286;36.067;2023-02-04T07:37:43.133045+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2023-02-04T07:37:43.133045+00:00;P1;35
144;SDS011;3528;-0.286;36.067;2023-02-04T07:40:23.358551+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2023-02-04T07:40:23.358551+00:00;P1;10
145;DHT22;3528;-0.286;36.067;2023-02-04T07:40:23.364289+00:00;humidity;57
145;DHT22;3528;-0.286;36.067;2023-02-04T07:40:23.364289+00:00;temperature;25
145;DHT22;3528;-0.286;36.067;2023-02-04T07:43:02.859210+00:00;humidity;56
145;DHT22;3528;-0.286;36.067;2023-02-04T07:43:02.859210+00:00;temperature;26
144;SDS011;3528;-0.286;36.067;2023-02-04T07:43:02.860697+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2023-02-04T07:43:02.860697+00:00;P1;30
145;DHT22;3528;-0.286;36.067;2023-02-04T07:45:43.306056+00:00;humidity;57
145;DHT22;3528;-0.286;36.067;2023-02-04T07:45:43.306056+00:00;temperature;26
144;SDS011;3528;-0.286;36.067;2023-02-04T07:45:43.313589+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2023-02-04T07:45:43.313589+00:00;P1;11
145;DHT22;3528;-0.286;36.067;2023-02-04T07:48:23.445919+00:00;humidity;57
145;DHT22;3528;-0.286;36.067;2023-02-04T07:48:23.445919+00:00;temperature;26
144;SDS011;3528;-0.286;36.067;2023-02-04T07:48:23.448556+00:00;P2;4
